"RefNo","SupplierName","DatePosted","Details","PaymentMode","AmountDr","AmountCr","TransNo","AccountUsed","FormID","ItemName","Measures","Quantity","UnitCost","VehicleNo"
"Alloted To YongXing Steel Company Ltd On 26 August 2026 By 4:07:00 PM","YongXing Steel Company Ltd","2026-08-26 00:00:00","4 Tons Of 12MM TMT At N975,000.00 Per Unit Cost. Vehicle No (BEN 686 ZU Easy Link)."," ========== ",3900000,0,"OST268261670"," ========== ","OST","12MM TMT","Tons","4","975000.00","BEN 686 ZU Easy Link"
"YongXing Steel Company Ltd Payment On 26 August 2026 By 4:07:46 PM","YongXing Steel Company Ltd","2026-08-26 00:00:00","Payment Made","Cheque",0,53850000,"nip","Access Bank Plc","CS"," ========== "," ========== "," ========== "," ========== ","0"
"Alloted To YongXing Steel Company Ltd On 26 August 2026 By 4:20:25 PM","YongXing Steel Company Ltd","2026-08-26 00:00:00","60 Tons Of 12 MM LOCAL At N735,000.00 Per Unit Cost. Vehicle No (UMG 126 XC)."," ========== ",44100000,0,"OST26826162025"," ========== ","OST","12 MM LOCAL","Tons","60","735000.00","UMG 126 XC"
"Alloted To YongXing Steel Company Ltd On 26 August 2026 By 4:21:35 PM","YongXing Steel Company Ltd","2026-08-26 00:00:00","10 Tons Of 16 MM LOCAL At N735,000.00 Per Unit Cost. Vehicle No (UMG 126 XC)."," ========== ",7350000,0,"OST26826162135"," ========== ","OST","16 MM LOCAL","Tons","10","735000.00","UMG 126 XC"
"YongXing Steel Company Ltd Payment On 26 August 2026 By 4:22:38 PM","YongXing Steel Company Ltd","2026-08-26 00:00:00","Payment Made","Cheque",0,43000000,"nip","Zenith Bank Plc","CS"," ========== "," ========== "," ========== "," ========== ","0"
"Alloted To YongXing Steel Company Ltd On 26 August 2026 By 4:34:34 PM","YongXing Steel Company Ltd","2026-08-26 00:00:00","20 Tons Of 12 MM LOCAL At N735,000.00 Per Unit Cost. Vehicle No (RLU 710 XE)."," ========== ",14700000,0,"OST26826163434"," ========== ","OST","12 MM LOCAL","Tons","20","735000.00","RLU 710 XE"
"Alloted To YongXing Steel Company Ltd On 26 August 2026 By 4:36:00 PM","YongXing Steel Company Ltd","2026-08-26 00:00:00","10 Tons Of 12MM TMT At N795,000.00 Per Unit Cost. Vehicle No (RLU 710 XE)."," ========== ",7950000,0,"OST2682616360"," ========== ","OST","12MM TMT","Tons","10","795000.00","RLU 710 XE"
"YongXing Steel Company Ltd Payment On 26 August 2026 By 4:44:39 PM","YongXing Steel Company Ltd","2026-08-26 00:00:00","Payment Made","Cheque",0,8450000,"nip","Access Bank Plc","CS"," ========== "," ========== "," ========== "," ========== ","0"
"YongXing Steel Company Ltd Payment On 26 August 2026 By 4:48:19 PM","YongXing Steel Company Ltd","2026-08-26 00:00:00","Payment Made","Cheque",0,24450000,"nip","Access Bank Plc","CS"," ========== "," ========== "," ========== "," ========== ","0"
"Alloted To YongXing Steel Company Ltd On 26 August 2026 By 5:14:55 PM","YongXing Steel Company Ltd","2026-08-26 00:00:00","90 Tons Of 12 MM LOCAL At N735,000.00 Per Unit Cost. Vehicle No (GGE 11 YN IZU LAGOS)."," ========== ",66150000,0,"OST26826171455"," ========== ","OST","12 MM LOCAL","Tons","90","735000.00","GGE 11 YN IZU LAGOS"
